id      ,date,station_id                          ,temperature_mean  ,temperature_median,temperature_min   ,temperature_max   ,rain_sum          ,humidity_mean     ,humidity_min,humidity_max,wind_speed_mean     ,rain_mean           ,rain_min,rain_max,rain_no_hours,humidity_no_hours,wind_speed_no_hours,solar_rad_std_sum,solar_rad_std_no_hours,station_id                          ,datasource,src_id  ,src_elevation,latitude,longitude,geom                                          ,distance_water,,
11058302,2023/01/02,1c3e49eb-fa07-588b-8cca-c980c2dfef68,27.70875,25.995,21.01,34.88,0,49.12652174,34.4,78.8,2.145833333,0,0,0,24,23,24,8498,24,1c3e49eb-fa07-588b-8cca-c980c2dfef68,metos,0020F839,245.5,-33.948488,18.908912,POINT (18.908912 -33.948488),0,,
11059942,2023/01/02,1ebf5c1e-9843-51a0-9004-bf4a8213be41,24.26033865,22.79107464,17.62,33.50607681,0,73.39538462,48.05,83.78,0,0,0,0,13,13,13,0,0,1ebf5c1e-9843-51a0-9004-bf4a8213be41,metos,00203F45,350.96,-34.04484953,19.09532198,POINT (19.095321980659488 -34.04484952533755),355,,
11059408,2023/01/02,1dc437ca-5868-51c7-9530-e0d6bafad538,25.20370485,23.935,18.44088373,35.85,0,64.30916667,31.34,87.34,1.59,0,0,0,24,24,20,8109,24,1dc437ca-5868-51c7-9530-e0d6bafad538,metos,0020EEB9,386,-33.591832,19.3682,POINT (19.3682 -33.591832),0,,
11083102,2023/01/02,546925ed-ea39-53b2-a3dd-6825fbbb668c,28.7825,27.58,22.89,34.33,0,51.40333333,33.63,78.67,0.67,0,0,0,24,24,20,8546,24,546925ed-ea39-53b2-a3dd-6825fbbb668c,metos,0020F4AE,500.9,-33.875788,18.899676,POINT (18.899676 -33.875788),0,,
11060080,2023/01/02,1eec0a7a-5853-56fd-9f67-c92d7d40f735,30.82333333,29.52,23.04,37.64,0,0,0,0,1.171428571,0,0,0,24,0,21,9814,24,1eec0a7a-5853-56fd-9f67-c92d7d40f735,metos,00208EEC,239.66,-33.63677473,19.0572135,POINT (19.057213498984876 -33.63677472922212),380,,
11060586,2023/01/02,2052e304-ed3a-51e1-ba27-cda6a8f195be,28.27083333,29.405,23.07,33.27,0,44.4375,35.2,62,5.204166667,0,0,0,24,24,24,9424,24,2052e304-ed3a-51e1-ba27-cda6a8f195be,metos,0310DF67,319.5,-33.933608,18.749158,POINT (18.749158 -33.933608),720,,
11060682,2023/01/02,207119df-8946-5f59-bb27-548cbc8cd581,24.99083333,23.78,17.34,34.82,0,65.05583333,31.92,92.82,0.895238095,0,0,0,24,24,21,8663,24,207119df-8946-5f59-bb27-548cbc8cd581,metos,0020FA28,136.6,-33.903692,18.73573,POINT (18.73573 -33.903692),0,,
11083662,2023/01/02,55f2ae85-8f4e-5e57-a403-f6b752b43eae,25.05583333,25.34,15.33,34.11,0,66.99043478,40.57,100,1.1125,0,0,0,24,23,24,5916,24,55f2ae85-8f4e-5e57-a403-f6b752b43eae,metos,0000057D,494.16,-33.704333,19.332136,POINT (19.332136 -33.704333),0,,
11082697,2023/01/02,5317c806-ca87-5329-a8bc-8336a1d94366,23.66,23.125,19.82,29.06,0,45.5526087,33.08,62.61,3.683333333,0,0,0,24,23,24,9170,24,5317c806-ca87-5329-a8bc-8336a1d94366,metos,0000A1E2,1222.48,-33.37559595,19.25304332,POINT (19.253043319702137 -33.3755959510696),0,,
11069360,2023/01/02,3357d0a1-5911-5ba6-bbd4-91a246c6bce8,27.32291667,28.13,18.49,35.02,0,49.85,31,78,0,0,0,0,24,20,24,10004,24,3357d0a1-5911-5ba6-bbd4-91a246c6bce8,metos,0120D59A,178.2,-33.88498,18.85128,POINT (18.85128 -33.88498),75,,
11146155,2023/01/02,f2b99fe6-9b57-56d6-aef3-fc1000ab104b,25.56458333,23.86,18.78,33.66,0,69.31714286,47.43,98.2,0.933333333,0,0,0,24,21,24,8502,24,f2b99fe6-9b57-56d6-aef3-fc1000ab104b,metos,0020F295,220.5,-33.956004,18.731072,POINT (18.731072 -33.956004),0,,
